PLAYER_NAME,GAME_DATE,MARKET,OVER_PRICE,POINT,HOME_TEAM,AWAY_TEAM,UNDER_PRICE,TEAM_NAME,HOME_AWAY,OPPONENT_NAME
Cam Thomas,2024-03-19,player_blocks_steals,2.85,1.5,Brooklyn Nets,New Orleans Pelicans,1.4,Brooklyn Nets,Home,New Orleans Pelicans
Cam Thomas,2024-03-19,player_points,1.8,20.5,Brooklyn Nets,New Orleans Pelicans,1.95,Brooklyn Nets,Home,New Orleans Pelicans
Cam Thomas,2024-03-19,player_points_alternate,1.5,18.5,Brooklyn Nets,New Orleans Pelicans,2.5,Brooklyn Nets,Home,New Orleans Pelicans
Cam Thomas,2024-03-19,player_points_assists,1.87,24.5,Brooklyn Nets,New Orleans Pelicans,1.83,Brooklyn Nets,Home,New Orleans Pelicans
Cam Thomas,2024-03-19,player_points_rebounds,1.83,24.5,Brooklyn Nets,New Orleans Pelicans,1.91,Brooklyn Nets,Home,New Orleans Pelicans
Cam Thomas,2024-03-19,player_points_rebounds_assists,1.91,28.5,Brooklyn Nets,New Orleans Pelicans,1.83,Brooklyn Nets,Home,New Orleans Pelicans
Cam Thomas,2024-03-19,player_rebounds,1.83,3.5,Brooklyn Nets,New Orleans Pelicans,1.91,Brooklyn Nets,Home,New Orleans Pelicans
Cam Thomas,2024-03-19,player_rebounds_alternate,,1.5,Brooklyn Nets,New Orleans Pelicans,7.0,Brooklyn Nets,Home,New Orleans Pelicans
Cam Thomas,2024-03-19,player_rebounds_alternate,21.0,9.5,Brooklyn Nets,New Orleans Pelicans,,Brooklyn Nets,Home,New Orleans Pelicans
Cam Thomas,2024-03-19,player_rebounds_assists,2.1,7.5,Brooklyn Nets,New Orleans Pelicans,1.69,Brooklyn Nets,Home,New Orleans Pelicans
Cam Thomas,2024-03-19,player_steals,1.57,0.5,Brooklyn Nets,New Orleans Pelicans,2.3,Brooklyn Nets,Home,New Orleans Pelicans
Cam Thomas,2024-03-19,player_threes,2.3,2.5,Brooklyn Nets,New Orleans Pelicans,1.57,Brooklyn Nets,Home,New Orleans Pelicans
Cam Thomas,2024-03-19,player_turnovers,2.2,2.5,Brooklyn Nets,New Orleans Pelicans,1.65,Brooklyn Nets,Home,New Orleans Pelicans
Dennis Schroder,2024-03-19,player_assists,1.95,6.5,Brooklyn Nets,New Orleans Pelicans,1.8,Brooklyn Nets,Home,New Orleans Pelicans
Dennis Schroder,2024-03-19,player_blocks,3.9,0.5,Brooklyn Nets,New Orleans Pelicans,1.22,Brooklyn Nets,Home,New Orleans Pelicans
Dennis Schroder,2024-03-19,player_blocks_steals,2.8,1.5,Brooklyn Nets,New Orleans Pelicans,1.4,Brooklyn Nets,Home,New Orleans Pelicans
Dennis Schroder,2024-03-19,player_points,1.87,13.5,Brooklyn Nets,New Orleans Pelicans,1.87,Brooklyn Nets,Home,New Orleans Pelicans
Dennis Schroder,2024-03-19,player_points_alternate,1.5,11.5,Brooklyn Nets,New Orleans Pelicans,,Brooklyn Nets,Home,New Orleans Pelicans
Dennis Schroder,2024-03-19,player_points_alternate,,12.5,Brooklyn Nets,New Orleans Pelicans,2.2,Brooklyn Nets,Home,New Orleans Pelicans
Dennis Schroder,2024-03-19,player_points_assists,1.91,20.5,Brooklyn Nets,New Orleans Pelicans,1.83,Brooklyn Nets,Home,New Orleans Pelicans
Dennis Schroder,2024-03-19,player_points_rebounds,1.91,16.5,Brooklyn Nets,New Orleans Pelicans,1.83,Brooklyn Nets,Home,New Orleans Pelicans
Dennis Schroder,2024-03-19,player_points_rebounds_assists,1.77,22.5,Brooklyn Nets,New Orleans Pelicans,1.95,Brooklyn Nets,Home,New Orleans Pelicans
Dennis Schroder,2024-03-19,player_rebounds,1.8,2.5,Brooklyn Nets,New Orleans Pelicans,1.91,Brooklyn Nets,Home,New Orleans Pelicans
Dennis Schroder,2024-03-19,player_rebounds_alternate,,1.5,Brooklyn Nets,New Orleans Pelicans,3.55,Brooklyn Nets,Home,New Orleans Pelicans
